"Step","f1","2023-08-01 18:16:49.323374_mustard_m3a_vanmix_1_none_1 - F1-score__MIN","2023-08-01 18:16:49.323374_mustard_m3a_vanmix_1_none_1 - F1-score__MAX"
"55","0.5854592798163567","0.5854592798163567","0.5854592798163567"
"56","0.5826941566072001","0.5826941566072001","0.5826941566072001"
"57","0.6022256728778468","0.6022256728778468","0.6022256728778468"
"58","0.6436042848141148","0.6436042848141148","0.6436042848141148"
"59","0.6244719879787591","0.6244719879787591","0.6244719879787591"
"60","0.6590358263861136","0.6590358263861136","0.6590358263861136"
"61","0.6735449401569172","0.6735449401569172","0.6735449401569172"
"62","0.6239130434782608","0.6239130434782608","0.6239130434782608"
"63","0.6521739130434783","0.6521739130434783","0.6521739130434783"
"64","0.6398364021856566","0.6398364021856566","0.6398364021856566"
"65","0.6425178474338487","0.6425178474338487","0.6425178474338487"
"66","0.6266210874906527","0.6266210874906527","0.6266210874906527"
"67","0.6155084850737024","0.6155084850737024","0.6155084850737024"
"68","0.6145107570438384","0.6145107570438384","0.6145107570438384"
"69","0.6133356308978363","0.6133356308978363","0.6133356308978363"
"70","0.6145107570438384","0.6145107570438384","0.6145107570438384"
"71","0.6290575209289765","0.6290575209289765","0.6290575209289765"
"72","0.6119787771961686","0.6119787771961686","0.6119787771961686"
"73","0.605372292076958","0.605372292076958","0.605372292076958"
"74","0.6104352921599959","0.6104352921599959","0.6104352921599959"
"75","0.6279267391658424","0.6279267391658424","0.6279267391658424"
"76","0.6251358471728262","0.6251358471728262","0.6251358471728262"
"77","0.5942028985507246","0.5942028985507246","0.5942028985507246"
"78","0.621229671064403","0.621229671064403","0.621229671064403"
"79","0.6590358263861136","0.6590358263861136","0.6590358263861136"
"80","0.6559057080796211","0.6559057080796211","0.6559057080796211"
"81","0.6503658502132948","0.6503658502132948","0.6503658502132948"
"82","0.663835656213705","0.663835656213705","0.663835656213705"
"83","0.6308106183486965","0.6308106183486965","0.6308106183486965"
"84","0.609448160535117","0.609448160535117","0.609448160535117"
"85","0.6595634480207176","0.6595634480207176","0.6595634480207176"
"86","0.6463426185839011","0.6463426185839011","0.6463426185839011"
"87","0.6513493253373314","0.6513493253373314","0.6513493253373314"
"88","0.5942028985507246","0.5942028985507246","0.5942028985507246"
"89","0.6299124876869903","0.6299124876869903","0.6299124876869903"
"90","0.6467851789900643","0.6467851789900643","0.6467851789900643"
"91","0.6747997635413165","0.6747997635413165","0.6747997635413165"
"92","0.662308591107558","0.662308591107558","0.662308591107558"
"93","0.6244719879787591","0.6244719879787591","0.6244719879787591"
"94","0.6383779264214049","0.6383779264214049","0.6383779264214049"
"95","0.6412633977851369","0.6412633977851369","0.6412633977851369"
"96","0.6492198151795183","0.6492198151795183","0.6492198151795183"
"97","0.664933939787741","0.664933939787741","0.664933939787741"
"98","0.6811594202898551","0.6811594202898551","0.6811594202898551"
"99","0.6872445764695293","0.6872445764695293","0.6872445764695293"
